producer,contact_name,street_address,city,province,postal_code,phone,fax,email,website,hours,brands
Inverness Village Market,Claire Pothier,"Inverness Cottage Workshop Building, 46 Lower Railway Street",Inverness,NULL,B0E 1N0,(902) 258-2832,NULL,inverness.cw@ns.sympatico.ca,http://farmersmarketsnovascotia.ca/find-a-market/inverness/,"Saturdays 10 am - 2 pm June to October  Our local vocational agency for adults who have intellectual disabilities hosts an average of 10 vendors per week with a product range from baked goods, crafts, art, and produce. We boast a comfortable atmosphere and invite patrons to enjoy a complimentary cup of tea & an oatcake and possibly stay for soup & biscuit lunch.",NULL
Ironwood Farm,Rupert Jannasch/Heather Johnson,5184 Hwy 215 RR 1 Newport,Summerville,Nova Scotia,B0N 2A0,1 (902) 633-2358,NULL,rupertjannasch@hotmail.com,http://www.ironwoodfarm.wordpress.com,"Sales through CSA and through retail. CSA operates from May - November with deliveries into Halifax.  Our certified organic vegetables can be found at retail locations including Sobey's,Planet Organic, Pete's Frootique and Local Source Catering. &#8194;&#8194;&#8194;&#8194;&#8194;",NULL
Ironworks Distillery,Lynne MacKay,2 Kempt St,Lunenburg,Nova Scotia,B0J 2C0,(902) 640-2424,NULL,crafted@ironworksdistillery.com,http://ironworksdistillery.com/,Visit website for store hours.,Ironworks
J.W. Mason and Son's Ltd.,NULL,836 Windsor Back Rd.,Windsor,Nova Scotia,B0N 2T0,(902) 798-3689,(902) 798-3933,roy.haley@jwmason.ns.ca,http://www.masonapples.com,NULL,Mason
Janet A Tanner Visual Artist,Janet A Tanner,88 Front Centre Rd.,Lunenburg,Nova Scotia,B0J 2C0,1 (902) 634-9193,NULL,mijatyco@hotmail.com,NULL,Visit by appointment only.,"The Port Grocer, Port Medway."
Johnson's Stonehenge Farm,Dawn Chiasson,2399 Harmony Road,Aylesford,Nova Scotia,B0P 1C0,1 (902) 844-1451,NULL,dsj@chiassons.com,NULL,"Unique apple ""Adopt-A-Tree"" program! $50 per tree for select varieties. We provide an ""Adoption"" certificate and sign under the tree. Makes a unique gift! Contact us for more information.  Also have raspberry upick - call ahead for times and field conditions.",NULL
Yarmouth Farmers' Community Market,TBA,"15 Hawthorne St, Lower Level",Yarmouth,Nova Scotia,B5A 4K5,NULL,NULL,yarmouthfarmersmarket@gmail.com,http://farmersmarketsnovascotia.ca,"Saturdays, Year round 9 am to 1 pm",NULL
Jordan Farms,Bob Jordan,"399 Warwick Mountain Road, New Annan",Tatamagouche,Nova Scotia,B0K 1V0,(902) 657-2097,NULL,objordano@seasidehighspeed.com,http://www.jordanfarms.ca,"end of June/July U-pick is open daily or phone orders for local delivey only, order and pickup your berries at the farm.  Weather permitting, berries are also sold at road side stand on Main Street  at the church parking lot.",NULL
Jost Vineyards Limited,"Hans Christian Jost,",48 Vintage Lane,Malagash,NULL,B0K 1E0,1 (902) 257-2636,1 (902) 257-2248,info@jostwine.com,http://www.jostwine.com,NULL,"Jost Vineyards, Jost Winery"
Just Us! Coffee Roasters Co-op,sales@justuscoffee.com,"11865 Hwy 1, RR#3 Wolfville",Wolfville,Nova Scotia,B4P 2R3,(902) 542-7474,(902) 542-4436,info@justuscoffee.com,http://www.justuscoffee.com,NULL,Just Us!
KD Hunter Maple Products,Keagan Coolen,256 Rodney Road,Leamington,Nova Scotia,B0M 1X0,1 (902) 397-1008,NULL,drew@kdhuntermaple.ca,http://www.kdhuntermaple.ca,NULL,NULL
Kennie's Strawberry Farm,NULL,1164 Upper Church Street,Kentville,NULL,B4N 3V7,1 (902) 679-1032,NULL,droberts@xcountry.tv,http://www.kenniesfarm.com/index.php,"Our Retail truck can be found at 8896 Commercial Street, New Minas during Strawberry season, Monday to Sunday from 9:00 am to 5:00 pm",NULL
Kenny's Farm Market,NULL,121 Main Street,Wolfville,Nova Scotia,B4P 2L7,(902) 542-5598,NULL,NULL,NULL,NULL,NULL
Kentville Farmers Market,Catherine Coles,"Centre Square, Downtown Kentville",Kentville,Nova Scotia,NULL,(902) 679-2514,NULL,marketmanager@kentville.ca,http://www.kentvillefarmersmarket.com,"Wednesdays, 10am - 2pm May to October – Kentville Centre Square November to April – 38 Cornwallis Street Kentville",NULL
Kevin's Greenhouse,Kevin Berry,472 Highway 311,North River,Nova Scotia,b6l6g8,1 (902) 890-6036,NULL,kevinsgreenhouse@gmail.com,NULL,Call my cell,NULL
King Limousin Farm,NULL,59 new road Dayton,Yarmouth,Nova Scotia,B5A 4A8,(902) 742-2187,NULL,hgking@eastlink.ca,http://www.kinglimousinfarm.com/,"Meat is available at Yarmouth Natural Food Store, Thousand Hill Farms, and the Yarmouth Farmers Market",NULL
Kings Produce,Carolyn Bishop,PO Box 157,Canning,NULL,B0P 1H0,1 (902) 582-3387,1 (902) 542-9501,cebishop@kingsproduce.ns.ca,http://www.kingsproduce.ns.ca,NULL,NULL
Kingsville Farm,Jamie or Laura,34 Dans Lane,Kingsville,NULL,B0E 3L0,(902) 302-0735,NULL,kingsvillefarm@yahoo.ca,http://www.kingsvillefarm.com,Farm in open from June to Oct,NULL
Kittilsen's Honey,"Paul Kittilsen, Lori Kittilsen","80 George Weatherby, RR # 1 Debert",Debert,NULL,B0M 1G0,1 (902) 662-4072,NULL,Pl.kittilsen@ns.sympatico.ca,NULL,NULL,NULL
Knoydart  Farm,Frazer Hunter,7037 Route 245,"Merigomish, Antigonish County",Nova Scotia,B0K 1G0,(902) 867-1305,NULL,knoydart@tncweb.ca,https://www.knoydartfarm.org/,NULL,NULL
Kredls Corner Market,NULL,1171 Main St,Hampton,Nova Scotia,E5N 6G5,NULL,NULL,NULL,NULL,NULL,NULL
Krispi Kraut,Kevin Rhodenizer,RR # 3 Lunenburg,Lunenburg,NULL,B0J 2C0,(902) 634-3711,(902) 634-3711,mrkrispi@bwr.eastlink.ca,NULL,NULL,Krispi Kraut
L'Acadie Vineyards,Bruce Ewert,310 Slayter Rd,Gaspereau,Nova Scotia,B4P 2R1,1 (902) 542-8463,NULL,info@lacadievineyards.ca,http://www.lacadievineyards.ca/,May to October - 11-5 Daily 10-5 Saturday  October to December - Open Saturdays,"Prestige Brut Estate, Vintage Cuvee, Passito"
LaHave Bakery,Shelley Tracey,3421 Hwy 331,LaHave,Nova Scotia,B0R 1C0,(902) 688-2908,(902) 688-1083,NULL,NULL,NULL,LaHave Bakery
Lahave River Berry Farm Inc.,Melissa,5216 Hwy 332,Middle Lahave,Nova Scotia,B4V 3L9,1 (902) 521-1701,NULL,melissa@lahaveriverberryfarm.ca,https://lahaveriverberryfarm.ca/,Summer hours 9am to 7pm Winter hours 9am to 5pm,"Lahave River Berry Farm Inc. Berry's Berries, Berry's Blooms, Gaia Green, Neptune's Harvest, Myke Pro, and more!"
Laughing Whale Coffee Roasters,Steven Zubalik,263 Lincoln Street,Lunenburg,Nova Scotia,B0J 2C0,(902) 527-3154,NULL,info@laughingwhalecoffee.com,http://www.laughingwhalecoffee.com,"Thursday at Lunenburg Farmers' Market, Saturday at Historic Farmers' Market, Seaport Market in Halifax.  Products also available at: Pete's Frootique, Planet Organic, Mariposa Natural Market, Local Source, Humani-t Cafe, Coastal Cafe, Kate's Pantry, Designer Cafe, Fulton's General Store, LaHave Bakery.",Laughing Whale
Lazy Brook Farm,Darlene Hill & Garry Messom,975-9 Rafuse Rd,Waterville,Nova Scotia,B0P 1V0,1 (902) 538-1626,1 (902) 538-1091,darlenehill@eastlink.ca,http://www.lazybrook.ca,Open whenever we’re home so best to call first to arrange a pickup time 902 670 6128,NULL
Lequille Country Store,NULL,9543 Highway 8,Annapolis Royal,Nova Scotia,B0S 1A0,1 (902) 532-5362,NULL,NULL,NULL,NULL,NULL
Les Marchés de la Baie,NULL,"3255 Route 1, Belliveau Cove (Beside the wharf)",Belliveau's Cove,Nova Scotia,B0W 1J0,1 (902) 769-2302,NULL,sheila.leblanc.joyce@gmail.com,http://www.belliveau-cove-market.blogspot.com,"Saturdays, 9am - 1pm May to September  This covered outdoor market has approximately 16 vendors featuring produce, organic produce, venison, baked goods, crafts, baskets, carving.  Monthly indoor market the rest of the year at Rendez-Vous de la Baie, 23 Lighthouse Road, Church Point.",NULL
Linden Leas Choice Beef,NULL,8473 Route 366,Linden,Nova Scotia,B4H 3Y2,(902) 661-4366,(902) 661-0506,NULL,http://www.lindenleas.ca,NULL,NULL
Lismore Sheep Farm Wool Shop,John Crawford,1389 Louisville Road,River John,Nova Scotia,B0K 1N0,1 (902) 351-2889,NULL,john.crawford@ns.sympatico.ca,http://www.lismoresheepfarmwoolshop.com,Open May - December 10am-4pm,NULL
"Lismore Sheep Farm Wool Shop, River John, NS",NULL,1389 Louisville Rd,River John,Nova Scotia,B0K 1No,NULL,NULL,NULL,NULL,NULL,NULL
Local Source Market (Halifax),Sean Gallagher,2530 Agricola Street,Halifax,Nova Scotia,B3K 4C5,(902) 454-6014,NULL,localsourceadmin@gmail.com,http://localsourcemarket.com/,Monday to Friday: 9 AM – 7 PM Saturday: 10 AM – 6 PM Sunday: 10 AM – 4 PM,NULL
Localmotive Farm,Jody Nelson,601 Cabot Trail,Hunters Mountain,Nova Scotia,B0E 1B0,(902) 489-5634,NULL,localmotivefarm@gmail.com,http://www.localmotivefarm.com,NULL,NULL
Lore's Strawberry Farm,JACKSON LORE,5505 Upper Clyde Road,SHELBURNE/MIDDLE CLYDE RIVER,Nova Scotia,B0T 1W0,(902) 875-2102,(902) 875-1607,strawberryguyns@gmail.com,NULL,"U-pick and pre-picked blueberries, strawberries and rhubarb available.  For all U-picks please call ahead for hours and season of operation.",NULL
Lunenburg County Winery,Heather Sanft,813 Walburne Road,Mahone Bay,NULL,B0J 2E0,1 (902) 644-2415,1 (902) 644-3416,info@canada-wine.com,http://www.canada-wine.com,"Wine available at NSLC province wide. Winery tours and tastings available.   U-pick blueberries and raspberries from mid-July to mid-August.   For all U-picks please call ahead for hours and season of operation.  Blueberries available at Sobeys stores in the Metro area, Pete's Frootique, and Farmer Clems.",NULL
Lunenburg Farmers' Market,Ashley Marlin,17 Green St,Lunenburg,Nova Scotia,B0J 2C0,(902) 277-1697,NULL,info@lunenburgfarmersmarket.ca,http://www.lunenburgfarmersmarket.ca,Thursdays mornings year-round May-Decenber 8 am to 12 noon January-April 8:30 am - 12:00 pm,NULL
Lunenburg Pudding and Sausage Company,Richard Greek,276A St. Phillips Street,Bridgewater,NULL,B4V 1W8,1 (902) 543-2441,1 (902) 543-7966,NULL,NULL,NULL,"Lunenburg Pudding, Sausage - Homemade Style Mincemeat."
Lunn's Mill Beer Company Ltd.,Chantelle Webb,515 Highway 201,Lawrencetown,Nova Scotia,B0S 1M0,(902) 584-2217,NULL,info@lunnsmill.beer,https://lunnsmill.beer,Thursday 3:30 -6:30pm Friday 12-6pm  Wednesday at Kentville Farmers Market 10-1,NULL
M.A. Hatt & Son Limited,Ralph Hatt,405 Highway 324RR#3 Lunenberg,Lilydale,NULL,B0J 2C0,1 (902) 634-8407,1 (902) 634-8407,mahattandson@eastlink.ca,NULL,NULL,NULL
Mabou Farmers' Market,Ann Sherrington,186 Mabou Harbour Rd,Mabou,NULL,B0E 1X0,1 (902) 787-2323,NULL,maboufarmersmarket@gmail.com,http://www.maboufarmersmarket.ca/,"Sundays, 11 am - 2 pm  June to October at Mabou Arena November to December, Dalbrae Academy",NULL
Mac Berry Farms,NULL,1279 Sherman Belcher Rd,Centreville,Nova Scotia,B0P 1J0,(902) 678-3961,NULL,NULL,http://macberryfarms.ca/,For all U-picks please call ahead for hours and season of operation.,NULL
MacDougall Meadows,NULL,3110 Highway 215,"Newport Corner, NS",Nova Scotia,NULL,(902) 527-7721,NULL,macdougallmeadows@gmail.com,https://macdougallmeadows.com,"Open for farm gate pickup anytime, but please call or email first.",NULL
MacLean's U-pick,Peter & Donnie MacLean,1487 Greenhill Road,"Durham, Pictou County",NULL,B0K 1H0,NULL,NULL,NULL,https://www.facebook.com/#!/pages/MacLeans-Strawberries/142206609248403?...,June/July,NULL
MacNutts Maple Syrup,Alex MacNutt,6011 Hwy 311,Earltown,Nova Scotia,B0K 1V0,1 (902) 657-2843,NULL,NULL,NULL,Open during maple season (tours available) and  by chance through the year,MacNutts Maple
MacRae's Rocky Ridge Maple,Alec & Gayle MacRae,2668 Hwy 311,"Upper North River, NS",Nova Scotia,B6L 6J7,1 (902) 897-6902,NULL,macraesrockyridge@gmail.com,http://www.macraesmaple.ca/,Open daily by chance or call ahead at 902 897-6902,MacRae's Rocky Ridge Maple
Mad Gringo Hot Sauce,Jordan Engman,64 Kelly Drive Williamswood,WILLIAMSWOOD,Nova Scotia,B3V 1E8,(416) 206-4598,NULL,gringo@madgringohotsauce.com,http://www.canadianhotsauce.com,Not open to public,NULL
Mallett's Gourmet,James or Michelle Mallett,510 Les Collins Ave,West Chezzetcook,NULL,B0J 1N0,(902) 827-4810,NULL,maplepepper@eastlink.ca,http://www.maplepepper.ca,NULL,NULL
Manning's Family Farm Market,NULL,50 Oakdale Lane,Falmouth,Nova Scotia,B0P 1L0,1 (902) 798-4541,NULL,NULL,http://manningfamilyfarm.ca/,NULL,NULL
Maple Mist Farm,Peter Grant,1927 Kemptown Road,Colchester,NULL,B0N 1Y0,1 (902) 657-3711,NULL,cegrant@novascotia.sympatico.ca,http://www.maplemist.ca,Please call ahead. Products are also available to order through our website.,NULL
Maple Shade Gardens,Bernhard and Linda Loewen,"RR 1, 1285 Finley Rd.",Upper Kennetcook,Nova Scotia,B0N 2L0,1 (902) 369-2235,1 (902) 369-2064,NULL,NULL,Available at Truro Farmers Market,NULL
Mapleton Enterprises Limited,NULL,RR # 1 Southampton,Southampton,NULL,B0M 1W0,(902) 546-2844,NULL,NULL,NULL,NULL,Mapleton Enterprises Ltd.
Marie and Guy's House Bread French Bakery,Guy or Marie,609 Main StreetP0 Box : 351,Kingston,NULL,B0P 1R0,1 (902) 341-2093,NULL,baguettecroissantbrioche@yahoo.ca,NULL,7:00 am - 5:30 pm,NULL
Maritime Express Cider,Jimi Doidge,325 Main Street,Kentville,Nova Scotia,B4N 1K5,1 (902) 681-5105,NULL,info@maritimeexpress.ca,https://www.maritimeexpress.ca/,Monday 11a.m.–10p.m. Tuesday 11a.m.–10p.m. Wednesday 11a.m.–10p.m. Thursday 11a.m.–10p.m. Friday 11a.m.–11p.m. Saturday 11a.m.–11p.m. Sunday 11a.m.–5p.m.,NULL
Marshdale Farms,Megan Balodis,2731 White Hill Rd,Hopewell,Nova Scotia,B0K 1C0,(902) 923-2323,NULL,marshdale_farms@hotmail.com,http://www.marshdalefarms.ca/,"We are open by appointment, and can be contacted through email, phone, or social media (Facebook and Instagram).",NULL
Mary's African Cuisine,Mary Nkrumah,1701 Barrington St.,Halifax,Nova Scotia,B3J 2A4,(902) 789-4548,NULL,noblemay@yahoo.com,NULL,"Mondays to Fridays 9 am - 7 pm, Saturday 9 am - 6 pm, Sunday 10 am - 2 pm At the Seaport Market on Fridays from 10am to 5pm, Saturdays from 7:00am-3:00pm, and Sundays from 9am to 3pm.  We are also open whenever a cruise ship is in town, which means almost every day in July, August, September and November!",NULL
Mary's Bread Basket,"Mary Mohammed, Joy Strickland, Dale Beagsley",1496 Lower Water Street,Halifax,NULL,B3J 1R9,(902) 423-2974,NULL,NULL,http://www.facebook.com/pages/Marys-Bread-Basket/139841906061682,NULL,Mary's Bread Basket
McCulloch Family Bakery,Lesley McCulloch,175 George St.,Stewiacke,NULL,B0N 2J0,1 (902) 639-1202,NULL,jjstorage@eastlink.ca,http://www.mccullochbakery.com/,NULL,NULL
Meadowbrook Meat Market,Margie Lamb,318 Pleasant Valley Rd,Berwick,Nova Scotia,B0P 1E0,(902) 538-1106,(902) 538-8284,meadowbrookfarm@ns.sympatico.ca,http://www.meadowbrookmeatmarket.com/index.html,"Mon-Wed 8:30-5:30, Thurs & Fri 8:30-8, Sat 8:30-5:30",NULL
Melvin Farms Ltd.,Richard Melvin,420 North Medford Rd.Canning,RR# 2 Canning,NULL,B0P 1H0,1 (902) 582-7939,NULL,farm@vitabite.com,http://www.vitabite.com,N/A   Products can be purchased at major retail stores and farm markets throughout Atlantic Canada.,NULL
Merigomish Schoolhouse Market & Cafe,David,1682 Hwy # 245,Merigomish,Nova Scotia,NULL,NULL,NULL,merigomishcommunitycentre@gmail.com,http://pcnagr.ca/index.php/farms/detail/farm_merigomish_cafe_market,Sundays 10 am - 1 pm  June to mid-Dec.,NULL
Mid Valley Farmers Market,NULL,1151 Bridge St.,Kingston,Nova Scotia,B0P 1R0,NULL,NULL,NULL,http://www.midvalleymarket.com,3-6 pm Fridays from the end of June until Thanksgiving,NULL
Millen Farms Ltd.,Curtis or Ann Millen,80 Little Dyke Road,Great Village,NULL,B0M 1L0,1 (902) 662-3848,1 (902) 662-2891,amcgmillen@eastlink.ca,NULL,Call 662-3848 for Strawberry U-pick hours,NULL
MMF Fisheries Ltd.,NULL,1279 Route 335,Middle West Pubnico,NULL,B0W 2M0,(902) 762-2876,NULL,gnbabin@ns.sympatico.ca,NULL,NULL,NULL
Mon Espoir Farm,David Brennick,165 Villa Drive,Little Bras D'Or,NULL,B1Y 2Y4,1 (902) 736-3086,NULL,dbrennick@syd.eastlink.ca,NULL,Available at the Cape Breton Farmers Market,NULL
Moon Fire Farm,NULL,233 Cogmagun Rd RR#1,Centre Burlington,Nova Scotia,B0N 1E0,1 (902) 757-1912,NULL,kimmchi@gmail.com,http://www.facebook.com/pages/Moon-Fire-Farm/206341839405686?sk=wall,"Community Shared Agriculture (CSA) program - weekly produce box for shareholders. Weekly share for 23 weeks (June - November). Deliveries into Halifax.  CSA members can also supplement their basket with free range all natural eggs and chicken. We also provide our preserves (including pasta sauce, spicy beans, pickles, jams) to CSA members at wholesale prices.",NULL
Moorbern Farms,Jack or Cynthia Bernier,1438 Highway 236,Scotch Village,Nova Scotia,B0N 2G0,(902) 757-1666,NULL,moorbern@gmail.com,http://www.moorbern.weebly.com,"""Chicken"" with us before you visit please. Farmers could be outstanding in their field!",NULL
Morse's Farm Ltd.,Anthony or Linda Morse,114 Main Street,Berwick,Nova Scotia,B0P 1E0,(902) 538-8446,(902) 538-5953,morsesfarm@gmail.com,http://www.morsesfarm.ca,NULL,NULL
Mosaic Market,NULL,141 Water Street,Windsor,Nova Scotia,B0N 2T0,NULL,NULL,NULL,NULL,NULL,NULL
Mountain Farm U-Pick,Margaret Minney,901 Mountain Road,River John,Nova Scotia,B0K 1N0,1 (902) 351-2821,NULL,minneymargaret@gmail.com,NULL,Monday - Saturday 9am - 7pm in Season. U-pick and also fruit picked to order.  For all U-picks please call ahead for hours and season of operation.,NULL
Mountain River Farm,Cory &Tarra,712 Torbrook rd West,Wilmot,Nova Scotia,B0P 1W0,(902) 825-9257,NULL,tspelton@gmail.com,http://mountainriverfarm.weebly.com/,Monday - Saturday 10 am - 6 pm  Sunday Closed ( Appointment Only),NULL
Mr. Donair Ltd.,Michelle Mitchelmore,386 Herring Cove Rd.,Halifax,NULL,B3R 1W4,1 (902) 477-7555,1 (902) 479-1017,NULL,http://www.mrdonair.com,NULL,Mr. Donair
Musquodoboit Harbour Farmers' Market,Leslie Savoy,67 Park Road,Musquodoboit Harbour,Nova Scotia,B0J 2L0,1 (902) 220-9114,NULL,info@mhfarmersmarket.ca,http://www.mhfarmersmarket.ca/,"Sundays, 9 am - 1 pm",NULL
Naturally Nova Scotia Health Products Ltd.,Nancy Smithers,2769 Lawrencetown Road,Dartmouth,Nova Scotia,B2Z 1L3,(902) 434-7206,(902) 435-3698,info@naturallynovascotia.com,http://www.naturallynovascotia.com,NULL,"Naturally Nova Scotia, Nova Scotia Natural"
Nature's Cove,Shauna Lucas,364 Bedford Highway,Halifax,Nova Scotia,B3M 2L1,1 (902) 443-5151,NULL,naturescove@hotmail.ca,NULL,NULL,NULL
Nature's Natural Solutions (NNS),Tracy Tappin,Post Road,Antigonish,Nova Scotia,B2G 2K5,1 (902) 870-5160,NULL,nns@ns.sympatico.ca,http://www.goatmilkskincare.com,Open Year Round,NULL
Neily's Greenhouse and Gardens,Will Neily,10139 HWY 1,Paradise,Nova Scotia,B0S 1R0,1 (902) 584-2001,NULL,Will@neilysgreenhouse.com,http://www.NeilysGreenhouse.com,May-Nov.,NULL
New Glasgow Farmers Market,Natalie Gordon,"Riverfront Dome, 115 Jury St",New Glasgow,NULL,B2H 2N6,1 (902) 301-9087,NULL,ngfarmmarket@gmail.com,http://www.ngfarmers.ca/,Saturdays  8:30 am - 12 noon May to October,NULL
New Ross Country Farmers Market,Rubia Hutt,"Ross Farm Museum, 4568 Route 12",New Ross,NULL,B0J 2M0,1 (902) 689-2414,NULL,rbhutt@eastlink.ca,http://museum.gov.ns.ca/rfm/en/home/whattoseedo/countryfarmmarket.aspx,Saturdays 9am - 12:30pm June to Thanksgiving,NULL
Nictaux Farms,Ivan Shilliday,8395 Highway 201 (Nictaux West),Middleton,Nova Scotia,B0S 1P0,1 (902) 825-4600,NULL,ivanshilliday@msn.com,http://nictauxfarms.tripod.com/mrbean,"9 am - 5 pm  We grow dried yellow eye baking beans, potatoes and pumpkins. Our beans are available through Pricechopper and Foodland and from Goucher's Farm Market and Masstown Market. They can also be bought from the farm year round. Our potatoes are a late season variety and will be available at the farm from early October until May (if not sold out).",NULL
Night Owl Coffee Roasters,NULL,36188 Cabot Trail,Ingonish,Nova Scotia,B0C 1K0,NULL,NULL,NULL,NULL,NULL,NULL
Noggins Corner Farm at Alderney Landing,NULL,2 Ochterloney Street,Dartmouth,Nova Scotia,B2Y 3Z3,NULL,NULL,NULL,NULL,NULL,NULL
Noggins Corner Farm Ltd.,NULL,10009 Hwy 1,Greenwich,Nova Scotia,B4P 2R2,(902) 542-5515,(902) 542-1791,cebishop@nogginsfarm.ca,http://www.nogginsfarm.ca,"Farm Market Open 8-8 Year Round  U-Picks, Corn maze, and haunted house open seasonally - please contact for details and season of operation.   For U-Pick Apples - Many varieties in season.",NULL
Noggins Corner Farm Market,NULL,10 009 Hwy #1,Greenwich,Nova Scotia,B4P 2R2,1 (902) 542-5515,NULL,sales@nogginsfarm.ca,http://www.nogginsfarm.ca/,8:00 am to 8:00 pm Monday  - Sunday,NULL
Norbert's Good Food,Norbert Kungl or Minga Mintz,1209 Marginal Rd,Halifax,Nova Scotia,B3H 4P7,(902) 420-0376,NULL,NULL,http://www.selwoodgreen.com,Monday 8-5 (closed Jan-April) Tuesday-Friday 8-5 Saturday 7-4 Sunday 9-4,NULL
North Mountain Market,Patrick Whiteway,3201 Long Point Road,Harbourville,Nova Scotia,B0P 1E0,NULL,NULL,UnitedTapestry@gmail.com,NULL,"Saturday 9:00 am to 1:00 pm June 1 to October 12, 2019",NULL
Northumberland Lamb Marketing Co-op,Michael Isenor,24 Brookside Branch Road,Truro,Nova Scotia,B2N 5B1,1 (902) 895-4262,NULL,northumberlamb@gmail.com,http://northumberlamb.ca/,NULL,Northumberlamb
Nova Agri Inc.,Andrea Palmer,1225 Middle Dyke Road,Centreville,NULL,B0P 1J0,1 (902) 582-1445,1 (902) 582-3676,novaagri@mycountrymagic.com,http://www.novaagri.com,NULL,"Country Magic, Love Life"
Nova Scotia Arctic Charr,NULL,15 Tower Rd.,Truro,NULL,B2N 5A9,1 (902) 893-4812,1 (902) 893-8880,NULL,http://www.nsarcticcharr.com/,NULL,NULL
Nova Scotia Fisherman Extreme Skin Care,info@novascotiafisherman.com,15 Jones road,New Minas,Nova Scotia,B4N 3N2,(888) 681-1362,NULL,info@novascotiafisherman.com,http://www.novascotiafisherman.com/,NULL,NULL
Nova Scotia Organics,Jeremy Hunter,2769 Lawrencetown Road,Lawrencetown,Nova Scotia,B2Z 1L3,1 (902) 434-7206,NULL,jeremy.hunter@novascotiaorganics.com,http://www.novascotiaorganics.ca,NULL,Nova Scotia Organics
NovaScotian Crystal,NULL,5080 George Street,Halifax,Nova Scotia,B3J 1M4,(888) 977-2797,(877) 977-2797,customerservice@novascotiancrystal.com,http://www.novascotiancrystal.com,"Showroom Hours 9:00AM-6:00PM, Sat-Sun 10:00AM-5:00PM",NovaScotian Crystal
O.H. Armstrong Ltd.,Order Desk - 1-800-661-6331.,1478 Park Road,Kingston,NULL,B0P 1R0,1 (902) 765-3311,1 (902) 765-3856,sales@oharmstrong.ca,http://www.oharmstrong.ca,NULL,Armstrong
Oak Manor Farms,Jamie Cornetta,5094 Hwy 215,Summerville,Nova Scotia,B0N 2K0,(902) 633-2494,(902) 633-2494,NULL,NULL,NULL,NULL
Oakview Farm,Jennifer/Kevin Graham,7 Longspell Rd.,Kingsport,Nova Scotia,B0P 1H0,(902) 582-7454,NULL,oakview@xcountry.tv,http://www.facebook.com/OakviewFarmAndGreenhouse,8am - 6pm. We are a non spray farm.  For all U-picks please call ahead for hours and season of operation.,NULL
O'Neil Fisheries,NULL,144 Water Street,Digby,NULL,B0V 1A0,1 (902) 245-6528,NULL,NULL,http://www.oneilfisheries.com/,NULL,Royal Fundy
Ouest-Ville Perennials,NULL,1250 Argyle Sound Road,West Pubnico,Nova Scotia,B0W 3S0,NULL,NULL,NULL,http://www.ouestvilleperennials.com/,NULL,NULL
Oxford Berry Farm,Kent and Cindy Thompson,115 KNOL DRIVE,Oxford,NULL,B0M 1P0,(902) 552-2029,NULL,NULL,NULL,"U-Pick available July 1st Road side stand on Main St., Oxford  (beside Tim Horton's)",NULL
Oxford Frozen Foods,NULL,4881 Main Street,Oxford,NULL,B0M 1P0,1 (902) 447-2100,1 (902) 447-2102,sales@oxfordfrozenfoods.com,http://www.oxfordfrozenfoods.com/,NULL,NULL
Parker Farm,Lisa Redden,1121 Woodville Rd.,"Ashdale, Hants County",Nova Scotia,B0N 2A0,(902) 790-4407,NULL,ashdaleparkerfarm@outlook.com,http://www.parkerfarm.ca,Please contact us to order or to visit the farm,NULL
Partners For Care Farmers Market at the QEII,Karen Mills,"Terrace of VG Centennial Building, 1276 South Park St",Halifax,NULL,B3H 2Y9,(902) 473-7048,NULL,karen.mills@cdha.nshealth.ca,NULL,"Fridays, 10 am to 2 pm, year-round.   Featuring fresh produce, bakery, fish, meat, coffee, organic and gluten-free products, and more.",NULL
Peach Pit Farm Market,NULL,2830 Hwy #221,Dempsey's Corner,Nova Scotia,B0P 1C0,1 (902) 847-0872,1 (902) 847-0907,blomidon@ns.sympatico.ca,NULL,"Open mid-August until the end of October, daily 10am to 5pm.  Closed on Sundays  The largest peach grower in the valley. Our peaches are tree ripened and hand picked for the ultimate in flavor and quality.",NULL
Peasant's Pantry,NULL,4491 Highway 12,New Ross,Nova Scotia,B0J 2M0,1 (902) 365-5964,NULL,deli@peasantspantry.ca,http://www.peasantspantry.ca,"Summer: Wed-Thurs 9-6 / Fri-Sat 9-8 / Sun-Mon 9-6 / Tues closed Open 12 months of the year - Hours vary slightly by season. For up-to-date open hours, visit our website or Facebook page.",NULL
Peggy's Cove Farm,NULL,8957 Peggy's Cove Road,Indian Harbour,Nova Scotia,B3Z 3P5,(902) 210-0530,NULL,peggyscovefarm@eastlink.ca,https://www.peggyscovefarm.ca,By Appointment Only Please,NULL
Petite Patrie Chocolate,Gabrielle Breault,NULL,NULL,Nova Scotia,NULL,NULL,NULL,info@petitepatriechocolate.com,http://www.petitepatriechocolate.com,Wolfville Farmers Market Permanent Vendor Open every Saturday 8:30 am to 1:00 pm,NULL
Petite Riviere Winery,Carol Slack-Wamboldt,1300 Italy Cross Road,Crousetown,NULL,B0J 1V0,1 (902) 693-3033,1 (902) 442-5101,info@petiterivierevineyards.ca,http://www.petiterivierevineyards.ca,May-October - OPEN DAILY November- April - Sat and Sun 12-5,NULL
