facility,permit_type,permit_status,facility_address,city
HUEYS CHIPS - MOBILE #1,Mobile - Class 1,Awaiting Application,11 LAKESIDE DR.,LAKESIDE
EDGAR SWAINSON FARM - EARLTOWN FARMERS MARKET,Public Market - Vendor,Awaiting Application,5527 HIGHWAY 311 HWY.,EARLTOWN
PANADA PIZZA,Eating Establishment,Awaiting Application,68 HIGHFIELD PARK DR.,DARTMOUTH
DELECTABLE DESSERTS,Eating Establishment,Active,50 EILEEN STUBBS AVE. UNIT 112,DARTMOUTH
Peter Turple,Mobile - Class 3,Active,11568 HIGHWAY 7 HWY.,LAKE CHARLOTTE
WILES LAKE FARM MARKET,Eating Establishment,Active,3254 HIGHWAY 325 HWY.,WILEVILLE
MONTANAS COOKHOUSE AND BAR,Eating Establishment,Active,194 CHAIN LAKE DR. UNIT,HALIFAX
VALLEY VARIETY,Eating Establishment,Active,93 SALMON RIVER RD.,VALLEY
FINBAR'S IRISH PUB,Eating Establishment,Active,635 PORTLAND HILLS DR.,DARTMOUTH
EDDIE'S SMALL ENGINE REPAIRS LTD,Food Shop,Active,5520 CABOT TRAIL,LAKE O'LAW
GRECO PIZZA,Eating Establishment,Awaiting Application,70 LACEWOOD DR.,HALIFAX
EDEN GOLF & COUNTRY CLUB,Eating Establishment,Active,5359 HIGHWAY 201 HWY.,WEST PARADISE
PORT HASTINGS HISTORICAL SOCIETY ICE CREAM BARN,Food Shop - Seasonal,Awaiting Application,24 HIGHWAY 105 ROTARY,PORT HASTINGS
CORA'S BREAKFAST AND LUNCH,Eating Establishment,Active,644 PORTLAND ST. UNIT 6,DARTMOUTH
Tim Hortons,Eating Establishment,Active,171 HERRING COVE RD.,HALIFAX
CHICKEN SHACK,Eating Establishment,Active,295 COMMERCIAL ST.,GLACE BAY
KINGS EDGEHILL CAFETERIA 72301,Eating Establishment,Active,33 KING'S-EDGEHILL LANE,WINDSOR
KAI PING RESTAURANT,Eating Establishment,Active,1026 KINGS RD.,SYDNEY RIVER
GIFFIN'S ESSO,Food Shop,Active,645 HIGHWAY 1 HWY.,MOUNT UNIACKE
QUARTERDECK BEACHSIDE VILLAS & GRILL,Eating Establishment,Active,7499 HIGHWAY 3 HWY.,SUMMERVILLE CENTRE
SOCIETE MI-CAREME,Eating Establishment,Awaiting Application,51 OLD CABOT TRAIL,GRAND ETANG
SHIVANI'S KITCHEN - ANNAPOLIS ROYAL FARMERS MARKET,Public Market - Vendor,Active,178 ST GEORGE ST.,ANNAPOLIS ROYAL
Antigonish Victorian Inn,Eating Establishment,Active,149 MAIN ST.,ANTIGONISH
SUBWAY 22743,Eating Establishment,Active,288 WELTON ST. UNIT,SYDNEY
DA MAURIZIO DINING ROOM,Eating Establishment,Active,1496 LOWER WATER ST.,HALIFAX
The Old No. 7 Restaurant and Sports Bar,Eating Establishment,Active,8990 HIGHWAY 7 HWY.,HEAD OF JEDDORE
SANDBAR RESTAURANT AND LOUNGE (THE),Eating Establishment,Awaiting Application,117 MITCHELL AVE.,DOMINION
NEWSBREAK CAFE,Eating Establishment,Active,100 ILSLEY AVE. UNIT,DARTMOUTH
A & W,Eating Establishment,Awaiting Application,370 PLEASANT ST.,DARTMOUTH
GILLIS SEAFOOD,Eating Establishment,Awaiting Application,48 MEMORIAL DR.,NORTH SYDNEY
BRIGLEY HOUSE,Eating Establishment - Seasonal,Awaiting Application,42 MAIN ST.,SHERBROOKE
ST. GEORGE'S CHURCH HALL,Eating Establishment,Awaiting Application,23 CHURCH ST.,PARRSBORO
LUNA VISTA FARMS,Public Market - Vendor,Active,15 YOUNG ST.,TRURO
Harmony Heights Elementary School,Eating Establishment,Awaiting Application,25 CEDAR DR.,SALMON RIVER
PULSIFER'S FOODS INC,Food Shop,Awaiting Application,223 COMMERCIAL ST.,BERWICK
SNAPPY TOMATO,Eating Establishment,Awaiting Application,273 WYSE RD.,DARTMOUTH
TASTY FRIED CHICKEN,Eating Establishment,Awaiting Application,1312 BEDFORD HWY.,BEDFORD
BARRINGTON REGIONAL CURLING CLUB,Eating Establishment,Awaiting Application,40 PARK LANE,SHEROSE ISLAND
REVANA PIZZA - TRURO,Eating Establishment,Awaiting Application,281 PICTOU RD.,BIBLE HILL
RIVERVIEW PRODUCE FARMS,Food Shop,Awaiting Application,73 STARRS RD. UNIT a,YARMOUTH
BRIDGEWATER ELEMENTARY SCHOOL,Eating Establishment,Awaiting Application,130 YORK ST.,BRIDGEWATER
LA BOUGUINE TAKE OUT,Eating Establishment,Awaiting Application,663 HIGHWAY 1 HWY.,COMEAUVILLE
MARTINS CONVENIENCE,Mobile - Class 1,Awaiting Application,1181 WESTMOUNT RD.,WESTMOUNT
BOWLARAMA,Eating Establishment,Active,16 DENTITH RD.,HALIFAX
GOOD KARMA VEGAN FOOD - WOLFVILLE FARMERS MARKET,Public Market - Vendor,Awaiting Application,24 ELM AVE.,WOLFVILLE
BELL BUOY RESTAURANT,Eating Establishment,Awaiting Application,536 CHEBUCTO ST.,BADDECK
CENTENNIAL ARENA,Eating Establishment,Awaiting Application,27 VIMY AVE.,HALIFAX
PORT HASTINGS FIRE DEPARTMENT,Eating Establishment,Awaiting Application,15 OLD VICTORIA RD.,PORT HASTINGS
JILLIAN ELLIS - LF,Mobile - Class 3,Awaiting Application,283 CHURCH ST.,AMHERST
YUKIKO'S OISHI SUSHI - ANNAPOLIS ROYAL FARMERS MARKET,Public Market - Vendor,Awaiting Application,178 ST GEORGE ST.,ANNAPOLIS ROYAL
CEILIDH DRIVE IN,Eating Establishment,Awaiting Application,16 BRIDGE AVE.,BLUE ACRES
LUONG'S RESTAURANT,Eating Establishment,Awaiting Application,165 WATER ST. UNIT 2,SHELBURNE
ELMWOOD CHILD CARE CENTRE - Elmsdale,Eating Establishment,Awaiting Application,583 HIGHWAY 2 HWY. 1,ELMSDALE
Sandeannie's Bakery & Tea Room,Eating Establishment,Awaiting Application,8263 HIGHWAY 19 HWY.,HARBOURVIEW
YUKIKO'S OISHI SUSHI - NEW DIGBY FARMERS & ARTISSANS MARKET,Public Market - Vendor,Active,1 ADMIRALS WALK,DIGBY
BONNARS MEATS,Food Shop,Awaiting Application,140 QUEEN ST.,NORTH SYDNEY
GOVERNORS PUB & EATERY,Eating Establishment,Awaiting Application,233 ESPLANADE,SYDNEY
UPHAM FAMILY OUTLET LTD,Food Shop,Awaiting Application,1076 HIGHWAY 2 HWY.,HILDEN
KRAVE BURGER,Eating Establishment,Awaiting Application,5680 SPRING GARDEN RD. UNIT 1,HALIFAX
Donna & Victor Burchell (Mobile),Mobile - Class 3,Awaiting Application,82 PARKLAND DR.,HALIFAX
JULIENNE'S RESTAURANT AND CATERING,Eating Establishment,Awaiting Application,5595 FENWICK ST.,HALIFAX
CHIPPIES FAST FOODS,Mobile - Class 1,Awaiting Application,2 STERLING RD.,GLACE BAY
SUBWAY,Eating Establishment,Awaiting Application,794 SACKVILLE DR.,LOWER SACKVILLE
BURRITO JAX,Eating Establishment,Awaiting Application,5215 BLOWERS ST.,HALIFAX
TOULANY'S PIZZA,Eating Establishment,Awaiting Application,6040 HIGHWAY 7 HWY.,HEAD OF CHEZZETCOOK
SHIVANI'S KITCHEN - TANTALLON VILLAGE FARMERS MARKET,Public Market - Vendor,Awaiting Application,5209 ST MARGARETS BAY RD.,UPPER TANTALLON
Little Dorset Farmers - Musquodoboit Harbour Farmers Market,Public Market - Vendor,Awaiting Application,67 PARK RD.,MUSQUODOBOIT HARBOUR
CLUB 55 SENIOR CITIZENS,Eating Establishment,Awaiting Application,70 PRINCE ST.,SYDNEY
NORTH QUEENS NURSING HOME,Eating Establishment,Awaiting Application,9565 HIGHWAY 8 HWY.,CALEDONIA
Harold Graham LF,Mobile - Class 3,Awaiting Application,223 WATER ST.,WESTPORT
DUECK'S PRODUCE - TRURO FARMERS MARKET,Public Market - Vendor,Awaiting Application,15 YOUNG ST.,TRURO
BAYPORT HOME FARM - SOUTH SHORE WALDORF SCHOOL,Public Market - Vendor,Awaiting Application,64 SCHOOL RD.,BLOCKHOUSE
Knoydart Farm Ltd - Mabou Farmers Market,Public Market - Vendor,Awaiting Application,186 MABOU HARBOUR RD.,MABOU
Holiday Inn Express & Suites Halifax-Bedford,Eating Establishment,Awaiting Application,980 PARKLAND DR.,HALIFAX
TWO RIVERS DEVELOPMENT ASSOCIATION,Eating Establishment - Seasonal,Awaiting Application,4581 GRAND MIRA NORTH RD.,MARION BRIDGE
CLARE PHARMACY LTD (PHARMASAVE),Food Shop,Awaiting Application,8693 MAIN ST.,METEGHAN CENTRE
MILFERNS HOLSTEINS - TRURO FARMERS MARKET,Public Market - Vendor,Awaiting Application,15 YOUNG ST.,TRURO
FAM JAM FOODS AND CHANSONETTE,Eating Establishment - Seasonal,Awaiting Application,13105 CABOT TRAIL,GRAND ÉTANG
CEADER'S CLUB,Eating Establishment,Awaiting Application,30 MACKENZIE ST.,SYDNEY
STEWIACKE FOODLAND,Eating Establishment,Awaiting Application,50 DUNROVIN AVE,STEWIACKE
CAPE BRETON SMOKEHOUSE RESTAURANT & CAFE,Eating Establishment,Awaiting Application,7004 MARBLE MOUNTAIN RD.,MALAGAWATCH
ALIESJA'S PRESCHOOL,Eating Establishment,Awaiting Application,5 SILVERWOOD TERR.,HALIFAX
BALLAST GROUND FISHERIES,Food Shop - Seasonal,Awaiting Application,220 COMMERCIAL ST.,NORTH SYDNEY
JRF-I PIZZA,Eating Establishment,Awaiting Application,95 CALEDONIA RD.,DARTMOUTH
MR FISH,Eating Establishment,Awaiting Application,104 KING ST.,SHELBURNE
SUNRISE MOTEL,Eating Establishment - Seasonal,Awaiting Application,283 HIGHWAY 2 HWY.,BROOKFIELD
PREMIUM SEAFOODS LTD,Eating Establishment,Awaiting Application,2392 HIGHWAY 206 HWY. 1,ARICHAT
BASINVIEW DRIVE COMMUNITY SCHOOL,Eating Establishment,Awaiting Application,273 BASINVIEW DR.,BEDFORD
BRENDA'S BAKE GOODS,Eating Establishment,Awaiting Application,156 RAMEY RD.,BARSS CORNER
BROWN HOUND PUB,Eating Establishment,Awaiting Application,2394 AGRICOLA ST.,HALIFAX
BUSCHMANNS FREE RANGE BIO FARM - CEILIDH MARKET,Public Market - Vendor,Awaiting Application,606 REEVES ST.,PORT HAWKESBURY
Curry Village,Eating Establishment,Awaiting Application,1569 DRESDEN ROW SUITE 8,HALIFAX
Kenneth Stoddart LF,Mobile - Class 3,Awaiting Application,373 BEAR POINT RD.,BEAR POINT
MIKE'S HARBOUR BEACH MARKET,Eating Establishment,Awaiting Application,5169 LITTLE HARBOUR RD.,LITTLE HARBOUR
POPULAR PLACE BAKERY INC (THE) - BADDECK FARMERS MARKET,Public Market - Vendor,Awaiting Application,26 CAMPBELL ST. 1,BADDECK
D & E SMOKED MEATS - AMHERST FARMERS MARKET,Public Market - Vendor,Awaiting Application,9 ELECTRIC ST.,AMHERST
BRIDGEWATER LOCAL PUBLIC HOUSE,Eating Establishment,Awaiting Application,421 LAHAVE ST.,BRIDGEWATER
NANNY BEE'S DINER,Eating Establishment,Awaiting Application,50 WATER ST.,DIGBY
PIZZADELIC,Eating Establishment,Awaiting Application,7 LANGBRAE DR.,HALIFAX
TABLEHEAD CONVENIENCE,Food Shop,Awaiting Application,88 STERLING RD.,GLACE BAY
TENNECAPE CAFE/TENNECAPE HALL,Food Shop - Seasonal,Awaiting Application,1933 HIGHWAY 215 HWY.,TENNECAPE
MALAGASH HOP & PICKLE (Mobile),Mobile - Class 2,Awaiting Application,5532 CABOT PL.,HALIFAX
MICHAEL POWER - FISH MOBILE,Mobile - Class 3,Awaiting Application,508 CROSS RD.,WEST JEDDORE
F.J. D'EON FOODS LTD - FISH MOBILE,Mobile - Class 3,Awaiting Application,691 HIGHWAY 335 HWY.,WEST PUBNICO
MY LITTLE KITCHEN,Eating Establishment,Awaiting Application,75 MARTINA DR.,SYDNEY
RED MOUNTAIN FARM - ALDERNEY LANDING FARMERS MARKET,Public Market - Vendor,Awaiting Application,2 OCHTERLONEY ST.,DARTMOUTH
FORUM CANTEEN,Eating Establishment,Awaiting Application,2901 WINDSOR ST.,HALIFAX
SOUTH CUMBERLAND COMMUNITY CARE CENTRE,Eating Establishment,Active,50 JENKS AVE.,PARRSBORO
NEIL'S HARBOUR NEW HAVEN DEVELOPMENT ASSOCIATION,Food Shop - Seasonal,Active,NULL,NULL
NORTH SHORE & DISTRICT VOLUNTEER FIRE DEPARTMENT,Eating Establishment,Active,46177 CABOT TRAIL,INDIAN BROOK
Angus Joseph Beaton,Mobile - Class 3,Active,17 VERNAS LANE,MABOU HARBOUR
LINACY FIRE DEPARTMENT,Eating Establishment,Active,6735 HIGHWAY 4 HWY.,LINACY
Annapolis Royal Historic Gardens Winter Market,Public Market - Vendor,Active,NULL,NULL
WENTWORTH LEARNING CENTRE,Eating Establishment,Active,13371 HIGHWAY 4,WENTWORTH
ANGELHOEVE FARM - WOLFVILLE FARMERS MARKET,Public Market - Vendor,Active,24 ELM AVE.,WOLFVILLE
BRENT RHYNOLD - FISH MOBILE,Mobile - Class 3,Awaiting Application,990 DOVER RD.,DOVER
KNIGHTS OF COLUMBUS - JOHN PAUL CENTRE,Eating Establishment,Awaiting Application,308 MAIN ST.,ANTIGONISH
24 CARROTS BAKERY LIMITED,Food Shop,Active,3200 KEMPT RD.,HALIFAX
TUCK SHOP,Food Shop - Seasonal,Active,101 BIBLE CAMP RD.,MALAGASH MINE
Backoos Korean Food To Go,Eating Establishment,Active,56 SUPREME CRT. UNIT 5,HALIFAX
GLENHOLME PETRO CANADA,Eating Establishment,Active,3376 HIGHWAY 4 HWY. UNIT 1,GLENHOLME
BAY SIDE HOME,Eating Establishment,Active,96 BAY SIDE DR.,BARRINGTON
RECARDO'S PIZZA,Eating Establishment,Active,586 MAIN ST.,MAHONE BAY
D & M SERVICE CENTRE LTD,Food Shop,Active,139 NICHOLS AVE.,KENTVILLE
Highland Drive In,Food Shop - Seasonal,Active,159 TRURO RD.,WESTVILLE ROAD
CUP OF SOUL CAFE (THE),Eating Establishment,Active,7 HORNE RD. 1,ELMSDALE
DBA Seafood by Rejean and More,Mobile - Class 1 Seasonal,Active,424 DODGE RD.,WILMOT
NAKILE HOME FOR SPECIAL CARE,Eating Establishment,Active,35 NAKILE DR.,ARGYLE
TIM HORTON'S,Eating Establishment,Active,5126 ST MARGARETS BAY RD.,UPPER TANTALLON
STATION 1 LEBANESE KITCHEN,Eating Establishment,Active,50 TACOMA DR.,DARTMOUTH
EAST SIDE MARIO'S,Eating Establishment,Active,186 CHAIN LAKE DR.,HALIFAX
PK CATERING,Mobile - Class 1,Active,49 JOHN STEWART DR.,COLE HARBOUR
TWO SCOOPS,Food Shop,Active,698 HIGHWAY 7 HWY. UNIT,WESTPHAL
METEGHAN RAPURE TAKE-OUT,Eating Establishment,Active,8491 HIGHWAY 1 HWY.,METEGHAN CENTRE
BEAVER COVE FOOD SERVICES,Eating Establishment,Active,4954 GRAND NARROWS HWY.,BEAVER COVE
RED KNIGHT ENTERPRISES,Eating Establishment,Active,73 STARRS RD. UNIT b,YARMOUTH
WINEGRUNT,Eating Establishment,Active,43 WATER ST.,WINDSOR
NEW SCOTLAND YARD (THE),Food Shop,Active,45 PORTLAND ST.,DARTMOUTH
SELDON J. KEATING LF,Mobile - Class 3,Active,12 SCANLAN POINT RD.,LITTLE HARBOUR
HABANEROS MODERN TACO BAR,Eating Establishment,Active,1551 SOUTH PARK ST. UNIT,HALIFAX
Uzi's Take Away,Eating Establishment,Active,2248 SYDNEY RD.,RESERVE MINES
LITTLE ASIA (THE) MOBILE,Mobile - Class 1,Active,22 ROSS ST.,ANTIGONISH
SUBWAY #64065,Eating Establishment,Active,3622 HAMMONDS PLAINS RD.,UPPER TANTALLON
RANDY'S PIZZA AND DONAIR,Eating Establishment,Active,179 BOLAND RD.,DARTMOUTH
WALKER'S CONVENIENCE LIMITED,Food Shop,Active,8165 HIGHWAY 217 HWY.,CENTREVILLE
STONE HEARTH BEACH FRONT TAKE OUT,Eating Establishment - Seasonal,Active,5265 OLD GUYSBOROUGH RD.,WYSES CORNER
MILFORD ESSO,Food Shop,Active,2301 HIGHWAY 2 HWY.,MILFORD
JAMDOUNS FOOD TRUCK,Mobile - Class 1,Active,517 HERRING COVE RD.,HALIFAX
SEAMUS DAVID'S PUB INC.,Eating Establishment,Active,21 LOGIEALMOND CLOSE,DARTMOUTH
Yum Foods Limited,Food Shop,Active,94 CEDAR ST.,WINDSOR
HAPPY HOLLOW PRESCHOOL,Eating Establishment,Active,5508 HENNESSEY PL.,HALIFAX
MARY LEE PRE-SCHOOL,Eating Establishment,Active,1559 KINGS RD.,SYDNEY RIVER
DAIRY QUEEN,Eating Establishment,Active,474 LAHAVE ST.,BRIDGEWATER
COOL BUS TREATS,Mobile - Class 1,Active,96 ISLAND VIEW DR.,BOUTILIERS POINT
HALIFAX HOTDOG COMPANY,Mobile - Class 2,Active,46 ELGIN ST.,HALIFAX
MACLEODS CANTEEN,Eating Establishment - Seasonal,Awaiting Application,542 GREEN BAY RD.,GREEN BAY
Thailand-Food 68,Public Market - Vendor,Active,1 ADMIRALS WALK,DIGBY
HONEYCOMB HEALTH MARKET,Eating Establishment,Active,805 PRINCE ST.,TRURO
CIRCLE K #2076,Food Shop,Active,2500 TRURO RD.,WESTVILLE
Amherst Superstore 312,Eating Establishment,Active,126 SOUTH ALBION ST. UNIT 2,AMHERST
CIRCLE K #2054,Food Shop,Active,2499 ROBIE ST.,HALIFAX
SOBEYS 322,Eating Establishment,Active,349 LAHAVE ST.,BRIDGEWATER
SACKVILLE SENIORS ADVISORY COUNCIL,Eating Establishment,Active,45 CONNOLLY RD.,MIDDLE SACKVILLE
Foodland,Eating Establishment,Active,4500 MAIN ST.,WEYMOUTH
BANDWAGON FOOD TRUCK (THE) - MOBILE,Mobile - Class 1,Active,276 WEST PETPESWICK RD.,MUSQUODOBOIT HARBOUR
MOM'S BUY & SELL,Eating Establishment,Active,229 LINCOLN ST.,LUNENBURG
VANDERPOEL'S PASTRY - TRURO FARMERS MARKET,Public Market - Vendor,Active,15 YOUNG ST.,TRURO
FLAVOR (ON THE WATER) CATERING & FINE FOODS,Eating Establishment,Active,74 ESPLANADE,SYDNEY
TERENCE BAY COMMUNITY HALL ASSOCIATION,Eating Establishment - Seasonal,Active,80 SANDY COVE RD.,TERENCE BAY
BOOSTER JUICE,Eating Establishment,Active,278 LACEWOOD DR.,HALIFAX
WALMART - Port Hawkesbury #3068,Food Shop,Active,47 PAINT ST. UNIT 17,PORT HAWKESBURY
MCDONALDS RESTAURANT,Eating Establishment,Active,704 REEVES ST.,PORT HAWKESBURY
RIVERVIEW HOME,Eating Establishment,Active,24 RIVERVIEW LANE,RIVERTON
ROSE & KETTLE TEAROOM,Eating Establishment,Active,471 POPLAR DR.,COLE HARBOUR
WILSON'S GAS STOP - Tantallon,Food Shop,Active,10 WESTWOOD BLVD.,UPPER TANTALLON
SOBEYS EXPRESS 4615,Eating Establishment,Active,5 RUTH GOLDBLOOM AVE.,HALIFAX
BAYVIEW COMMUNITY SCHOOL CAFETERIA,Eating Establishment,Active,110 CLEARWAY ST.,MAHONE BAY
WILSONS GAS STOP #125 - Rockingham,Food Shop,Active,30 FARNHAM GATE RD.,HALIFAX
TWELVE,Eating Establishment,Active,2329 NOTRE DAME AVE.,ANTIGONISH
The Rustic Crust Inc,Eating Establishment,Active,10 SONNYS RD.,UPPER TANTALLON
PAPA K PIZZA,Eating Establishment,Active,2862 HIGHWAY 2 HWY. B,SHUBENACADIE
7 Birch Street Digby,Public Market - Vendor,Active,7 BIRCH ST.,DIGBY
OLIVER'S COFFEES,Eating Establishment,Active,2021 BRUNSWICK ST.,HALIFAX
CORNER BRIDGE STORE AND BAKERY LIMITED,Food Shop,Active,2 MACINTOSH AVE.,PORT HAWKESBURY
LOTUS GARDEN RESTAURANT,Eating Establishment,Active,67 STARRS RD.,YARMOUTH
Bailey's Lick A Treat,Eating Establishment,Active,785 HARDSCRATCH RD.,BROOKLYN
CREATIVE BEGINNINGS EARLY LEARNING CENTRE,Eating Establishment,Active,176 NORTH FOORD ST.,STELLARTON
LOUISBOURG FIRE HALL,Eating Establishment,Active,7485 MAIN ST.,LOUISBOURG
MILLER'S DAIRY BAR,Food Shop,Active,63 WEST RIVER RD.,PICTOU
GRECO PIZZA,Eating Establishment,Active,102 ALBRO LAKE RD. UNIT,DARTMOUTH
FOX HARB'R WILLARD,Eating Establishment,Active,1337 FOX HARBOUR,WALLACE
SUBWAY #70226,Eating Establishment,Active,3441 PLUMMER AVE.,NEW WATERFORD
ARDMORE TEA ROOM,Eating Establishment,Active,6499 QUINPOOL RD.,HALIFAX
CENTENNIAL VILLA,Eating Establishment,Active,258 CHURCH ST. UNIT 106,AMHERST
SALTYS BAR AND GRILL,Eating Establishment,Active,1869 UPPER WATER ST.,HALIFAX
DRUMLIN HEIGHTS CONSOLIDATED SCHOOL CAFETERIA,Eating Establishment,Active,5428 HIGHWAY 3 HWY.,ARGYLE
RIVERVIEW HIGH SCHOOL CAFETERIA,Eating Establishment,Active,57 COXHEATH RD.,COXHEATH
NSCC AMHERST CLC,Eating Establishment,Active,147 SOUTH ALBION ST.,AMHERST
TULLOCH INN (THE),Eating Establishment,Active,2795 WEST LAKE AINSLIE RD.,WEST LAKE AINSLIE
TAIPAN,Eating Establishment,Awaiting Application,1588 ARGYLE ST.,HALIFAX
Le Petit Robicheau Take Out,Eating Establishment - Seasonal,Active,9651 HIGHWAY 1 HWY. UNIT,LOWER SAULNIERVILLE
HANTS COUNTY BRANCH 009,Eating Establishment,Active,35 EMPIRE LANE,WINDSOR
CUSACK ELEMENTARY SCHOOL #71113,Eating Establishment,Active,500 BIRCH HILL DR.,SYDNEY
M & M FOOD MARKET #173,Food Shop,Active,799 SACKVILLE DR.,LOWER SACKVILLE
FOYER CELESTE INC,Eating Establishment,Active,8064 HIGHWAY 1 HWY.,METEGHAN
WINDSOR ELEMENTARY SCHOOL CAFETERIA,Eating Establishment,Active,100 TREMAIN CRES.,WINDSOR
BRINS DE SOLEIL - CENTRE PRESCOLAIRE,Eating Establishment,Active,15 INGLIS ST.,SYDNEY
KENTUCKY FRIED CHICKEN/TACO BELL (NEW GLASGOW),Eating Establishment,Active,674 EAST RIVER RD.,NEW GLASGOW
Betty/Cameron/Tyler Jordan - Kentville Farmers Market,Public Market - Vendor,Active,38 CORNWALLIS ST.,KENTVILLE
EXIT5IVE Pub and Restaurant,Eating Establishment,Active,4120 HIGHWAY 1 HWY. UNIT 2,GARLANDS CROSSING
The New Digby Farmers & Artisans Market  Admirals Walk Water Street Digby,Public Market - Vendor,Active,112 MONTAGUE ROW,DIGBY
SCOTIABANK THEATRE HALIFAX,Eating Establishment,Active,190 CHAIN LAKE DR.,HALIFAX
CIRCLE K #2075,Food Shop,Active,5197 EAST RIVER RD.,PLYMOUTH
LOUIS MILLETT COMMUNITY COMPLEX,Eating Establishment,Active,9489 COMMERCIAL ST.,NEW MINAS
G.S. Nickerson Ltd - LFOS,Mobile - Class 3,Active,987 HIGHWAY 3 HWY.,MIDDLE EAST PUBNICO
M&M FOOD MARKET #123,Food Shop,Active,9256 COMMERCIAL ST.,NEW MINAS
ALLEGRO CHILD CARE CENTRE LTD.,Eating Establishment,Active,5415 VICTORIA RD.,HALIFAX
DAYS GONE BY BAKERY & RESTAURANT,Eating Establishment,Active,143 MAIN ST.,GUYSBOROUGH
SUN SPUN NATURAL FOODS,Food Shop,Active,583 PRINCE ST.,TRURO
JEANTIES MINI MART (2016),Eating Establishment,Active,2341 HIGHWAY 206 HWY.,ARICHAT
PRINCE ANDREW HIGH SCHOOL,Eating Establishment,Active,31 WOODLAWN RD.,DARTMOUTH
CHARLES P ALLEN HIGH SCHOOL,Eating Establishment,Active,200 INNOVATION DR.,BEDFORD
JESSY'S PIZZA,Eating Establishment,Active,501 TIMBERLEA VILLAGE PKY. UNIT 401,TIMBERLEA
CARL'S YOUR INDEPENDENT GROCER #634,Eating Establishment,Active,396 MAIN ST.,WOLFVILLE
ENGINE ROOM PUB,Eating Establishment,Active,166 ESPLANADE,TRURO
Union Market,Eating Establishment,Active,30 HIGHLAND AVE.,WOLFVILLE
CIRCLE K #2123,Food Shop,Active,8250 HIGHWAY 105 HWY.,BADDECK
CENTRE LA PICASSE,Eating Establishment,Active,3435 HIGHWAY 206 HWY.,PETIT-DE-GRAT
GOOD FOOD HUB (THE)-WOLFVILLE FARMERS MARKET,Public Market - Vendor,Active,24 ELM AVE.,WOLFVILLE
JAMAL'S MEDITERRANEAN FOOD,Eating Establishment,Active,3802 HIGHWAY 3 HWY.,CHESTER
VEITH HOUSE,Eating Establishment,Active,3115 VEITH ST.,HALIFAX
WAVERLEY MEMORIAL  #71448,Eating Establishment,Active,2393 ROCKY LAKE DR.,WAVERLEY
BEDFORD GUARDIAN AT THE RAVINES,Food Shop,Active,535 LARRY UTECK BLVD.,HALIFAX
Green Cafe - ROWE BUILDING,Food Shop,Active,6049 UNIVERSITY AVE.,HALIFAX
CNC HEALTH FOOD LTD,Food Shop,Active,254 KINGS RD.,SYDNEY
PORTLAND DAY CARE CENTRE,Eating Establishment,Active,530 PORTLAND ST. UNIT,DARTMOUTH
ROBINS DONUTS,Eating Establishment,Active,519 GRAND LAKE RD.,SYDNEY
STARBUCKS COFFEE # 23087,Eating Establishment,Active,675 WINDMILL RD.,DARTMOUTH
DALHOUSIE UNIVERSITY SHERRIFF HALL CAFETERIA,Eating Establishment,Active,6385 SOUTH ST. UNIT 54,HALIFAX
TALO - (3341020 Nova Scotia Limited),Eating Establishment,Active,151 LOWER NORTH ST.,GLACE BAY
Causeway Seafood Market,Food Shop,Active,13138 HIGHWAY 104 HWY. UNIT 3,AULDS COVE
DARTMOUTH YACHT CLUB,Eating Establishment,Active,697 WINDMILL RD.,DARTMOUTH
ROYAL CANADIAN LEGION 166,Eating Establishment,Active,8706 HIGHWAY 354 HWY.,NOEL
NEW BEGINNINGS CENTRE,Eating Establishment,Active,1151 BRIDGE ST.,GREENWOOD
NOVA SCOTIA HEALTH AUTHORITY -NUTRITION AND FOOD SERVICES,Eating Establishment,Active,22637 HIGHWAY 7 HWY.,SHEET HARBOUR
New Glasgow Farmers Market/Woolies of Upperbrook Farm,Public Market - Vendor,Active,261 GLASGOW ST.,NEW GLASGOW
SOLDIERS MEMORIAL HOSPITAL,Eating Establishment,Active,462 MAIN ST.,MIDDLETON
CENTRE SCOLAIRE DE LA RIVE-SUD,Eating Establishment,Active,20 CHEMIN PETITE EVANGELINE CRT.,COOKVILLE
Ready for Joy (Chat Bar),Eating Establishment,Active,1022 BARRINGTON ST.,HALIFAX
TALAY THAI DARTMOUTH RESTAURANT,Eating Establishment,Active,984 COLE HARBOUR RD.,COLE HARBOUR
SHREE CURRY PLACE - TRURO FARMERS MARKET,Public Market - Vendor,Active,15 YOUNG ST.,TRURO
MINI MINERS DAYCARE,Eating Establishment,Active,736 MAPLE ST.,NEW WATERFORD
CARLETON CONSOLIDATED SCHOOL CAFETERIA,Eating Establishment,Active,4014 HIGHWAY 340 HWY.,CARLETON
TIM HORTONS,Eating Establishment,Active,4 FOREST HILLS PKY.,COLE HARBOUR
TIDAL BORE RAFTING RESORT,Eating Establishment,Active,12215 HIGHWAY 215 HWY.,URBANIA
EASTERN SHORE COMMUNITY CENTRE,Eating Establishment,Active,67 PARK RD.,MUSQUODOBOIT HARBOUR
BOMBER CHICKEN RESTAURANT,Eating Establishment,Active,6184 QUINPOOL RD.,HALIFAX
UNCOMMON GROUNDS - PUBLIC GARDENS,Eating Establishment,Active,5700 SPRING GARDEN RD.,HALIFAX
HILLCREST ACADEMY CAFE,Eating Establishment,Active,127 KING ST.,SHELBURNE
