facility,permit_type,permit_status,facility_address,city
The Pineapple Sweets & Co,Eating Establishment,Active,30 FARNHAM GATE RD.,halifax
NEEDS CONVENIENCE #4484,Food Shop,Active,5881 DUFFUS ST.,halifax
CIRCLE K #2060,Food Shop,Active,389 BEDFORD HWY.,halifax
Jay's Convenience,Food Shop,Active,2340 LONGARD PLAZA,halifax
The Halifax Honey Company,Eating Establishment - Seasonal,Active,948 SOUTH BLAND ST.,halifax
SUBWAY,Eating Establishment,Active,259 COMMODORE DR.,dartmouth
MOLLYZ DINER,Eating Establishment,Active,2182 GOTTINGEN ST.,halifax
ORIGINALITALY CATERING LIMITED,Eating Establishment - Seasonal,Active,70 KING ST.,dartmouth
FONG SING RESTAURANT,Eating Establishment,Active,278 LACEWOOD DR.,halifax
Makhani Indian Restaurant,Eating Establishment,Active,1595 BEDFORD HWY.,bedford
MERCANTILE SOCIAL (THE),Eating Establishment,Active,1579 HOLLIS ST.,halifax
ALWAYS A PLEASURE,Eating Establishment,Awaiting Application,1595 BEDFORD HWY.,bedford
PRESCOTT BAKERY,Eating Establishment,Awaiting Application,3430 PRESCOTT ST.,halifax
Brunswick Street United Church,Eating Establishment,Active,250 BRUNSWICK ST.,truro
PZZA.CA-HFX,Eating Establishment,Active,3450 JOSEPH HOWE DR.,halifax
YOKA RESTAURANT,Eating Establishment,Active,911 PRINCE ST. UNIT,truro
WOLFVILLE ELMS,Eating Establishment,Active,705 MAIN ST.,wolfville
DIMITRIS PIZZA,Eating Establishment,Active,6469 CHEBUCTO RD.,halifax
ANNIE'S PLACE CAFE,Eating Establishment,Awaiting Application,1592 QUEEN ST.,halifax
Wired Monk Coffee Bistro,Eating Establishment,Awaiting Application,5147 MORRIS ST.,halifax
CARREFOUR CAFETERIA,Eating Establishment,Awaiting Application,201 AVENUE DU PORTAGE,dartmouth
SHIP VICTORY RESTAURANT AND LOUNGE,Eating Establishment,Active,400 WINDMILL RD.,dartmouth
SUBWAY LTD.,Eating Establishment,Active,266 ST MARGARETS BAY RD.,halifax
Yun's Asian Grocery Store,Food Shop,Active,3569 DUTCH VILLAGE RD.,halifax
HALIFAX BREWERY FARMERS MARKET - ORGANIZER,Public Market - Vendor,Active,1496 LOWER WATER ST.,halifax
DELUXE FRENCH FRIES LIMITED,Eating Establishment,Active,97 ROBIE ST.,truro
DEE DEE'S ICE CREAM KITCHEN,Eating Establishment,Active,5668 CORNWALLIS ST.,halifax
CIRCLE K #2084,Food Shop,Active,7 ROBIE ST.,truro
OXFORD MANOR HOME FOR SPECIAL CARE,Eating Establishment,Active,1946 OXFORD ST.,halifax
BROTHER KHURSHID HALAL SHACK,Public Market - Vendor,Active,2901 WINDSOR ST.,halifax
WOK BOX,Eating Establishment,Active,55 GALE TERR.,dartmouth
ROBIN'S DONUTS,Eating Establishment,Active,303 PRINCE ALBERT RD.,dartmouth
TIM HORTONS,Eating Establishment,Active,5201 DUKE ST.,halifax
FENWICK CONVENIENCE,Food Shop,Active,1143 SOUTH PARK ST.,halifax
NOOK AND CRANNY- SAUCED WOODFIRED PIZZA,Eating Establishment,Active,615 PRINCE ST. UNIT A,truro
HOKKAI SUHSI & FUSION,Eating Establishment,Awaiting Application,5187 SALTER ST.,halifax
BRIDGEVIEW GROCERY,Food Shop,Awaiting Application,188 BEDFORD HWY.,halifax
HARVEST / A Farm to Table Eatery,Eating Establishment,Active,1625 MARKET ST.,halifax
EL GALLO MEXICAN CUISINE - ALDERNEY LANDING FARMERS MARKET,Public Market - Vendor,Active,2 OCHTERLONEY ST.,dartmouth
WORLD GYM DARTMOUTH,Food Shop,Active,114 WOODLAWN RD.,dartmouth
BMO CENTRE,Eating Establishment,Active,61 GARY MARTIN DR.,bedford
TOMAVINOS,Eating Establishment,Active,1113 MARGINAL RD.,halifax
NEEDS CONVENIENCE #179,Food Shop,Active,33 HERRING COVE RD.,halifax
REAL SCOOP ICE CREAM AND ESPRESSO SHOP (THE),Eating Establishment,Active,10 GASPEREAU AVE.,wolfville
STAR ANISE VIETNAMESE NOODLES RESTAURANT,Eating Establishment,Active,1571 BARRINGTON ST.,halifax
HALIFAX DISTILLING CO,Eating Establishment,Awaiting Application,1668 LOWER WATER ST.,halifax
QUICKIES CAFE,Eating Establishment,Active,99 WYSE RD.,dartmouth
Sweet Williams,Public Market - Vendor,Active,1496 LOWER WATER ST.,halifax
Jamaica Vibes Express,Eating Establishment,Active,100 HIGHFIELD PARK DR.,dartmouth
Aroma Maya To Go,Eating Establishment,Active,318 YOUNG ST.,truro
DISTRICT 5 BAR & GRILL LIMITED,Eating Establishment,Active,65 KING ST.,dartmouth
BICYCLE THIEF (THE),Eating Establishment,Awaiting Application,1475 LOWER WATER ST.,halifax
BIRCH PLEASE CHAGA,Food Shop,Awaiting Application,3115 VEITH ST.,halifax
NEEDS CONVENIENCE #184,Food Shop,Active,266 ST MARGARETS BAY RD.,halifax
OLD PORT PUB & GRILL,Eating Establishment,Active,900 WINDMILL RD.,dartmouth
CORTADO TASTING ROOM,Eating Establishment,Active,50 GARY MARTIN DR.,bedford
LE MARCHANT - ST THOMAS ELEMENTARY,Eating Establishment,Active,1589 WALNUT ST.,halifax
PADDY'S BREWPUB,Eating Establishment,Active,460 MAIN ST.,wolfville
TIM HORTON'S # 1810,Eating Establishment,Active,369 CALDWELL RD.,dartmouth
LUMINATE CO WELLNESS MARKET,Food Shop,Active,486 STARBOARD DR.,halifax
BENTO NOUVEAU (SUSHI BAR),Eating Establishment,Active,1075 BARRINGTON ST.,halifax
SCOTIABANK CENTRE - HALIFAX LINKS (WEST),Eating Establishment,Active,1800 ARGYLE ST.,halifax
SUSHI BY BENTO NOUVEAU - Young St.,Eating Establishment,Active,6141 YOUNG ST.,halifax
ATRIUM CAFE,Eating Establishment,Awaiting Application,923 ROBIE ST.,halifax
NORTHWOOD ADULT DAY PROGRAM,Eating Establishment,Awaiting Application,130 EILEEN  STUBBS AVE. UNIT 6,dartmouth
DRIFT COFFEE,Mobile - Class 1,Active,2656 BELLE AIRE TERR.,halifax
Higbee Berry Farm,Public Market - Vendor,Active,173 OLD SAMBRO RD.,halifax
CHKN CHOP INC,Eating Establishment,Active,6041 NORTH ST. UNIT 1,halifax
MCDONALD'S RESTAURANT,Eating Establishment,Active,140 WADE RD.,truro
HOWE HALL DALHOUSIE UNIVERSITY,Eating Establishment,Active,6230 COBURG RD.,halifax
PRIMAL KITCHEN,Eating Establishment,Active,1463 BRENTON ST.,halifax
TIM HORTON'S,Eating Establishment,Active,621 WINDMILL RD.,dartmouth
Sidekick Cafe,Eating Establishment,Active,2853 AGRICOLA ST.,halifax
GARDEN FOOD BAR,Eating Establishment,Active,5475 CLYDE ST.,halifax
SHOPPERS DRUG MART #584,Food Shop,Awaiting Application,950 BEDFORD HWY.,bedford
SIMPLY FOR LIFE,Food Shop,Active,100 ESPLANADE,truro
HOLLIS HALIFAX (THE),Eating Establishment,Active,1649 HOLLIS ST.,halifax
FREDIE'S FANTASTIC FISHHOUSE,Eating Establishment,Active,8 OLAND CRES.,halifax
KENTUCKY FRIED CHICKEN (Titus St),Eating Establishment,Active,18 TITUS ST.,halifax
Bedford Petro Canada,Food Shop,Active,1611 BEDFORD HWY.,bedford
PIZZATOWN,Eating Establishment,Active,202 BROWNLOW AVE.,dartmouth
OAKWOOD TERRACE NURSING HOME,Eating Establishment,Active,10 MOUNT HOPE AVE.,dartmouth
SATISFACTION FEAST - HALIFAX BREWERY MARKET,Public Market - Vendor,Active,1496 LOWER WATER ST.,halifax
SATTVA FOOD,Eating Establishment,Active,3115 VEITH ST.,halifax
ALAA CARTE YARMOUTH - ALDERNEY LANDING FARMERS MARKET,Public Market - Vendor,Awaiting Application,2 OCHTERLONEY ST.,dartmouth
TIM HORTONS,Eating Establishment,Awaiting Application,975 WILKINSON AVE.,dartmouth
DHABA EXPRESS RESTAURANT & TAKEAWAY,Eating Establishment,Active,8 OLAND CRES.,halifax
ADDA INDIAN EATERY,Eating Establishment,Active,5640 SPRING GARDEN RD. UNIT B107,halifax
Mun'cheez Pizza Mart,Food Shop,Active,95 MONTEBELLO DR.,dartmouth
SOUTHWOOD VILLA,Eating Establishment,Active,153 PLEASANT ST.,dartmouth
SUBWAY,Eating Establishment,Active,118 WYSE RD.,dartmouth
KATCH - A MODERN SEAFOOD SHACK,Eating Establishment,Awaiting Application,1549 LOWER WATER ST.,halifax
PIZZA MARKET (THE),Eating Establishment,Active,135 ESPLANADE,truro
FIVE FISHERMAN RESTAURANT,Eating Establishment,Active,1740 ARGYLE ST.,halifax
JOHNNY K'S AUTHENTIC DONAIRS,Eating Establishment,Active,5246 BLOWERS ST.,halifax
UNCOMMON GROUNDS-SOUTH PARK,Eating Establishment,Active,1030 SOUTH PARK ST.,halifax
IT TAKES A VILLAGE INC. (Unit 9),Eating Establishment,Active,480 PARKLAND DR. UNIT 14,halifax
FRESHLY SQUEEZED,Eating Establishment,Active,5675 SPRING GARDEN RD. SUITE A3,halifax
Kodoraku,Eating Establishment,Active,5640 SPRING GARDEN RD. UNIT B107,halifax
BAVARIAN SAUSAGE EXPRESS - TRURO FARMERS MARKET,Public Market - Vendor,Active,15 YOUNG ST.,truro
FISHERMAN'S MARKET,Eating Establishment,Active,607 BEDFORD HWY.,halifax
UPSTREET BBQ BREWHOUSE,Eating Establishment,Active,612 WINDMILL RD. UNIT 3,dartmouth
Dear Friend,Eating Establishment,Active,67 PORTLAND ST.,dartmouth
A & W BEDFORD,Eating Establishment,Active,1748 BEDFORD HWY.,bedford
STARBUCKS COFFEE #12465,Eating Establishment,Active,84 CHAIN LAKE DR.,halifax
STONE HEARTH CAFE AT KESHEN,Food Shop,Active,330 LACEWOOD DR.,halifax
NOVA SCOTIA HOSPITAL CAFE,Eating Establishment,Active,300 PLEASANT ST.,dartmouth
Snappy Tomato Pizza,Eating Establishment,Active,273 WYSE RD.,dartmouth
COWIE HILL CHILD CARE CENTRE,Eating Establishment,Active,30 RIDGE VALLEY RD.,halifax
MACDOUGALL MEADOWS - HALIFAX FORUM FARMERS MARKET,Public Market - Vendor,Awaiting Application,2901 WINDSOR ST.,halifax
THAI EXPRESS,Eating Establishment,Active,5201 DUKE ST.,halifax
Joseph Howe Superstore #379,Eating Establishment,Active,3601 JOSEPH HOWE DR.,halifax
PETRO CANADA,Food Shop,Active,610 PORTLAND ST.,dartmouth
LAKESIDE GRILL @ BEST WESTERN CHOCOLATE LAKE & BAR,Eating Establishment,Active,20 ST MARGARETS BAY RD.,halifax
CASINO MAIN / BANQUET KITCHEN,Eating Establishment,Active,1983 UPPER WATER ST.,halifax
CA HOA WHOLESALE AND RETAIL GROCERY,Food Shop,Active,5483 VICTORIA RD.,halifax
SUPER MIKES,Food Shop,Awaiting Application,2 CENTRAL AVE.,halifax
CMHA-CEH SOCIAL ENTERPRIZE CAFE,Eating Establishment,Active,859 PRINCE ST.,truro
"NOVA SCOTIA COMMUNITY COLLEGE, AKERLEY CAMPUS",Eating Establishment,Active,21 WOODLAWN RD.,dartmouth
PIZZATOWN,Eating Establishment,Active,6080 YOUNG ST.,halifax
MRS FIELDS / PRETZELMAKER,Eating Establishment,Active,21 MICMAC BLVD.,dartmouth
DALHOUSIE STUDENT UNION - DSU SEXTON MARKET,Public Market - Vendor,Awaiting Application,1360 BARRINGTON ST.,halifax
JENNY'S,Eating Establishment,Active,6211 LADY HAMMOND RD.,halifax
Bayers Road Petro Canada,Food Shop,Active,7015 BAYERS RD.,halifax
East Coast Family Market (Halifax Seaport Farmers Market),Public Market - Vendor,Active,1031 MARGINAL RD.,halifax
SMOKE'S POUTINERIE HALIFAX,Eating Establishment,Active,5236 BLOWERS ST.,halifax
COMPASS DISTILLERS,Eating Establishment,Active,2533 AGRICOLA ST.,halifax
DUCK DUCK GOOSE CHILDREN'S CENTRE,Eating Establishment,Active,49 MOUNT EDWARD RD.,dartmouth
BULK BARN,Food Shop,Active,3440 JOSEPH HOWE DR.,halifax
SOBEYS #806,Eating Establishment,Active,198 WYSE RD.,dartmouth
SUMMER SAVORY CAFETERIA (HALIFAX INFIRMARY BUILDING 2ND FLOOR),Eating Establishment,Active,1796 SUMMER ST.,halifax
COASTAL CAFE,Eating Establishment,Active,2731 ROBIE ST.,halifax
COASTAL INN,Eating Establishment,Active,379 WINDMILL RD.,dartmouth
CELTIC CORNER PUB,Eating Establishment,Awaiting Application,69 ALDERNEY DR.,dartmouth
M & Y ASIAN GROCERY,Food Shop,Active,2150 WINDSOR ST.,halifax
HEPPYS PIE LADY - HALIFAX BREWERY FARMERS MARKET,Public Market - Vendor,Awaiting Application,1496 LOWER WATER ST.,halifax
BARRINGTON STREET CHILDRENS CENTER,Eating Establishment,Active,1233 BARRINGTON ST.,halifax
HIGHWAYMAN RESTAURANT LIMITED (THE),Eating Establishment,Active,1673 BARRINGTON ST.,halifax
TRURO GOLF CLUB,Eating Establishment,Active,86 GOLF ST.,truro
TIM HORTONS (DAA GROUP LTD.),Eating Establishment,Active,15 AKERLEY BLVD.,dartmouth
HEART AND HEARTH CAFE,Eating Establishment,Active,5980 UNIVERSITY AVE.,halifax
BUILDING BLOCKS PRESCHOOL,Eating Establishment,Active,14 HURON AVE.,wolfville
ALFRED LAMPL - ALDERNEY LANDING FARMERS MARKET,Public Market - Vendor,Awaiting Application,2 OCHTERLONEY ST.,dartmouth
HALIFAX BREWERY FARMERS MARKET COOPERATIVE LTD,Eating Establishment,Awaiting Application,1496 LOWER WATER ST.,halifax
PEKARA KITCHEN AND BAKERY,Eating Establishment,Active,936 BEDFORD HWY. SUITE 112,bedford
"ANTOINETTE'S CHEESECAKES - ""LET THEM EAT CAKE""",Eating Establishment,Active,250 BAKER DR. SUITE 108,dartmouth
RINALDOS NEW YORK PIZZA,Eating Establishment,Active,3428 DUTCH VILLAGE RD.,halifax
DOGS ON WHEELS (MUSZALSKI MOBILE 1),Mobile - Class 2,Active,25 RIVER RD.,halifax
Dartmouth Child Development Centre,Eating Establishment,Active,61 BOLAND RD.,dartmouth
DARTMOUTH HIGH SCHOOL #71468,Eating Establishment,Active,95 VICTORIA RD.,dartmouth
EFTY Dishes,Eating Establishment,Active,636 BEDFORD HWY.,halifax
GREENSTOP,Food Shop,Awaiting Application,172 WYSE RD.,dartmouth
CHRISTOPHER ALLAN'S PRESCHOOL,Eating Establishment,Active,6463 ALMON ST.,halifax
OCHTERLONEY STREET ESSO,Food Shop,Active,174 OCHTERLONEY ST.,dartmouth
Papa Marios Pizza,Eating Establishment,Active,1189 BEDFORD HWY.,bedford
CERTAINLY CINNAMON CATERING KITCHEN,Eating Establishment,Active,3204 BARRINGTON ST.,halifax
BAR KISMET,Eating Establishment,Active,2733 AGRICOLA ST.,halifax
VERANO FOOD PURVEYORS,Eating Establishment,Awaiting Application,1871 HOLLIS ST.,halifax
MY SONS PUB AND GRILL LTD,Eating Establishment,Active,223 WYSE RD.,dartmouth
BRAWTA JAMAICAN JERK JOINT,Eating Establishment,Active,1567 GRAFTON ST.,halifax
ZEN CHINESE CUISINE,Eating Establishment,Active,287 LACEWOOD DR. UNIT 107,halifax
WALMART - HALIFAX #3636,Food Shop,Active,6990 MUMFORD RD.,halifax
FORTUNE DOUGHNUT,Eating Establishment,Active,1729 BARRINGTON ST.,halifax
SUBWAY - SCOTIA SQUARE,Eating Establishment,Active,5201 DUKE ST.,halifax
PIZZA HUT,Eating Establishment,Active,362 LACEWOOD DR. UNIT,halifax
MUNROE LODGE,Eating Establishment,Active,18 MUNROE CRT.,truro
SOBEYS #580,Eating Establishment,Active,961 BEDFORD HWY. UNIT 105,bedford
SHOPPERS DRUG MART#136,Food Shop,Awaiting Application,278 LACEWOOD DR.,halifax
DUTCH VILLAGE ROAD CHILD CARE CENTRE,Eating Establishment,Awaiting Application,2717 JOSEPH HOWE DR.,halifax
CASTELLO CAFE,Eating Establishment,Awaiting Application,1223 LOWER WATER ST.,halifax
Jessy's Pizza North End,Eating Establishment,Awaiting Application,6041 NORTH ST. UNIT 1,halifax
ST. JOHN'S ANGLICAN CHURCH,Eating Establishment,Active,1931 LARRY UTECK BLVD.,bedford
HABESHA CONVENIENCE AND LAUNDROMAT,Food Shop,Awaiting Application,1312 BEDFORD HWY.,bedford
TRURO CURLING CLUB,Eating Establishment,Awaiting Application,56 YOUNG ST.,truro
OLD APOTHECARY BAKERY & CAFE (THE),Eating Establishment,Awaiting Application,1496 LOWER WATER ST.,halifax
RONNIE'S 2 FOR 1 PIZZA - MAIN ST,Eating Establishment,Awaiting Application,121 MAIN ST.,dartmouth
PITA PIT,Eating Establishment,Awaiting Application,15 CUDDY LANE,dartmouth
MR SMOOTH - MOBILE SEASONAL,Mobile - Class 1 Seasonal,Awaiting Application,53 NADIA DR.,dartmouth
BAGELS! WITH CREAM CHEESE - ALDERNEY LANDING FARMERS MARKET,Public Market - Vendor,Awaiting Application,2 OCHTERLONEY ST.,dartmouth
JMJ FOOD MARKET LTD,Food Shop,Awaiting Application,49 PETTIPAS DR.,dartmouth
TWO CRUMPETEER'S (THE) - HALIFAX BREWERY FARMERS MARKET,Public Market - Vendor,Awaiting Application,1496 LOWER WATER ST.,halifax
PIZZA PIZZA #531,Eating Establishment,Awaiting Application,3514 JOSEPH HOWE DR.,halifax
OLD APOTHECARY BAKERY (THE),Eating Establishment,Awaiting Application,1496 LOWER WATER ST.,halifax
COMFORT INN,Eating Establishment,Active,560 BEDFORD HWY.,halifax
HIGH TIDE,Mobile - Class 1 Seasonal,Awaiting Application,268 LACEWOOD DR.,halifax
KORCA PIZZA,Eating Establishment,Active,2777 AGRICOLA ST.,halifax
Nena's Breakfast House,Eating Establishment,Active,273 WYSE RD.,dartmouth
"Pickled Pink Traditional Food & Drink - 312-1496 Lower Water Street, Halifax",Eating Establishment,Active,1496 LOWER WATER ST.,halifax
STUBBORN GOAT BEER GARDEN (THE),Food Shop,Active,1549 LOWER WATER ST.,halifax
HALIFAX WATERFRONT VISITOR INFORMATION CENTRE,Eating Establishment,Active,1655 LOWER WATER ST.,halifax
HEARTWOOD BY THE SEA - KIOSK #2,Eating Establishment - Seasonal,Active,1707 LOWER WATER ST.,halifax
FREAK LUNCHBOX,Food Shop,Active,1729 BARRINGTON ST.,halifax
CENTRAL NOVA SCOTIA CORRECTIONAL,Eating Establishment,Active,90 GLORIA MCCLUSKEY AVE.,dartmouth
NOUR'S CAFE & GRILL,Eating Establishment,Active,7071 BAYERS RD. SUITE 221,halifax
ela! GREEK TAVERNA,Eating Establishment,Active,150 HECTOR GATE,dartmouth
MY DREAM CHEESECAKE CAFE,Eating Establishment,Active,5640 SPRING GARDEN RD. UNIT B107,halifax
SAJ HOUSE,Eating Establishment,Active,19 ALMA CRES.,halifax
Subway,Eating Establishment,Active,19 ALMA CRES.,halifax
DOOLY'S,Eating Establishment,Active,121 ILSLEY AVE. UNIT 113,dartmouth
Julia's Lounge,Eating Establishment,Active,165 WILLOW ST.,truro
STEAK AND STEIN RESTAURANT,Eating Establishment,Active,620 PORTLAND ST.,dartmouth
GOLDEN BAKERY,Eating Establishment,Active,1350 BEDFORD HWY.,bedford
MOUNT DENSON BLUEBERRIES - SPRYFIELD FARMERS MARKET,Public Market - Vendor,Active,173 OLD SAMBRO RD.,halifax
KING OF DONAIR,Eating Establishment,Active,278 LACEWOOD DR.,halifax
KING OF DONAIR,Eating Establishment,Active,451 WINDMILL RD.,dartmouth
COUGAR DOME (THE),Eating Establishment,Active,72 NORTH ST.,truro
INDOCHINE BANHI MI,Eating Establishment,Active,1551 SOUTH PARK ST. UNIT,halifax
CHA BAA THAI RESTAURANT BEDFORD,Eating Establishment,Active,1511 BEDFORD HWY.,bedford
FREEMANS LITTLE NEW YORK,Eating Establishment,Active,6092 QUINPOOL RD.,halifax
CUT STEAKHOUSE SHUCK SEAFOOD,Eating Establishment,Active,5120 SALTER ST.,halifax
SILVER DRAGON RESTAURANT,Eating Establishment,Active,2827 ROBIE ST.,halifax
BLUNT BARTENDER (THE),Eating Establishment,Active,563 PRINCE ST.,truro
Hop Scotch Dinner Club,Eating Establishment,Active,1537 BARRINGTON ST.,halifax
TSUJIRI,Eating Establishment,Active,1605 SOUTH PARK ST.,halifax
BOSTON PIZZA TRURO,Eating Establishment,Active,68 ROBIE ST.,truro
MOUNT PLEASANT NURSERY SCHOOL,Eating Establishment,Active,39 HARRIS AVE.,truro
ENVIE A VEGAN KITCHEN,Eating Establishment,Active,5775 CHARLES ST.,halifax
DOOSON FOOD SERVICES,Eating Establishment,Active,1515 DRESDEN ROW,halifax
UPPERBROOK FARM - TRURO FARMERS MARKET,Public Market - Vendor,Active,15 YOUNG ST.,truro
ROYAL NOVA SCOTIA YACHT SQUADRON,Eating Establishment,Active,2372 PURCELLS COVE RD.,halifax
STUBBORN GOAT COMMISSARY KITCHEN,Eating Establishment,Active,1581 GRAFTON ST.,halifax
LEEDS STREET CHILD CARE CENTRE,Eating Establishment,Active,5685 LEEDS ST.,halifax
ROLL IT UP,Eating Establishment,Active,1995 BRUNSWICK,halifax
LDCP Bar & Grill,Eating Establishment,Active,278 LACEWOOD DR.,halifax
PIECE OF CAKE FINE BAKERY AND CAFE,Food Shop,Active,1475 LOWER WATER ST.,halifax
ICE PATCH HOLLOW INDOOR PLAYGROUND,Food Shop,Active,1595 BEDFORD HWY.,bedford
The Salvation Army Spryfield Family Resource Centre,Eating Establishment,Active,328 HERRING COVE RD.,halifax
"LOADED LADLE, THE",Eating Establishment,Active,6136 UNIVERSITY AVE.,halifax
ROYAL CANADIAN LEGION BRANCH 26,Eating Establishment,Active,42 BRUNSWICK ST.,truro
KFC / TACO BELL Halifax Shopping Centre,Eating Establishment,Active,7001 MUMFORD RD. UNIT 256A,halifax
JL ILSLEY HIGH #71552,Eating Establishment,Active,38 SYLVIA AVE.,halifax
Smyrna Restaurant and Catering,Eating Establishment,Active,1569 DRESDEN ROW SUITE 8,halifax
WORLD TEA HOUSE,Eating Establishment,Active,1592 ARGYLE ST.,halifax
MACKAY'S PHARMACY,Food Shop,Active,205 PLEASANT ST.,dartmouth
FREEMAN'S LITTLE NEW YORK DOWNTOWN,Eating Establishment,Active,1726 GRAFTON ST.,halifax
ANGLICAN DIOCESAN CENTRE,Eating Establishment,Active,1340 CATHEDRAL LANE,halifax
HILLSIDE WESLEYAN CHURCH - PARKWAY,Eating Establishment,Active,80 CHAMEAU CRES,dartmouth
UNIVERSITY OF KING'S COLLEGE #72302,Eating Establishment,Active,6350 COBURG RD.,halifax
MINATO SUSHI,Eating Establishment,Active,1520 QUEEN ST.,halifax
ROBIE STREET ESSO,Food Shop,Active,121 ROBIE ST.,truro
ROYAL CANADIAN LEGION FAIRVIEW BRANCH #142,Eating Establishment,Active,50 HILLCREST ST.,halifax
KENNY'S PIZZA (BEDFORD MALL LOCATION),Eating Establishment,Active,1658 BEDFORD HWY. UNIT 0490,bedford
STONE PIZZA,Eating Establishment,Active,79 ALDERNEY DR.,dartmouth
LITTLE CAESAR'S PIZZA,Eating Establishment,Active,569 PORTLAND ST.,dartmouth
Starbucks Coffee #8146,Eating Establishment,Active,1646 BARRINGTON ST.,halifax
USTA TURKISH & MEDITERRANEAN RESTAURANT,Eating Establishment,Active,635 PORTLAND HILLS DR.,dartmouth
HALIFAX INDEPENDENT SCHOOL,Eating Establishment,Active,3331 CONNAUGHT AVE.,halifax
TacoBros.,Eating Establishment,Active,437 PRINCE ST.,truro
Colchester East Hants Health Centre (Food Services Production),Eating Establishment,Active,600 ABENAKI RD.,truro
PARKLAND AT THE LAKES - KINROSS HALL/LOUIS HALL,Eating Establishment,Active,122 BAKER DR.,dartmouth
LAKEFRONT VARIETY,Eating Establishment,Active,6 LAKEFRONT RD. UNIT,dartmouth
JIM'S FAMILY RESTAURANT,Eating Establishment,Active,243 BEDFORD HWY.,halifax
Ran Cher Acres,Public Market - Vendor,Active,1496 LOWER WATER ST.,halifax
Modern Orchid Southeast Asian Cuisine,Eating Establishment,Active,171 HECTOR GATE,dartmouth
Jungle Jim's Eatery,Eating Establishment,Active,189 CHAIN LAKE DR.,halifax
FRASERS PASTRY,Food Shop,Active,809 PRINCE ST.,truro
MAY GARDEN CHINESE RESTAURANT (Casino),Eating Establishment,Active,1983 UPPER WATER ST.,halifax
Caritas Residence,Eating Establishment,Active,215 SETON RD.,halifax
FRIES AND COMPANY LTD.,Eating Establishment,Active,2603 CONNOLLY ST.,halifax
ITALIAN ASSOCIATION,Eating Establishment,Active,2623 AGRICOLA ST.,halifax
HALI DELI,Eating Establishment,Active,2383 AGRICOLA ST.,halifax
JUKAI JAPANESE & THAI,Eating Establishment,Active,49 KINGS WHARF PLACE,dartmouth
UNIVERSITY CHILDREN'S CENTRE (DALHOUSIE),Eating Establishment,Active,6101 SOUTH ST.,halifax
ARMDALE YACHT CLUB,Eating Establishment,Active,75 BURGEE RUN,halifax
KOREA GARDEN EXPRESS,Eating Establishment,Active,5201 DUKE ST.,halifax
SUBWAY (Ilsley Ave),Eating Establishment,Active,100 ILSLEY AVE. UNIT,dartmouth
PIZZALAND,Eating Establishment,Active,287 LACEWOOD DR. UNIT 107,halifax
Flenjor Foods,Food Shop,Active,31 ALBRO LAKE RD.,dartmouth
Holy Moly!,Food Shop,Active,114 WOODLAWN RD.,dartmouth
PARK WEST SCHOOL #71461,Eating Establishment,Active,206 LANGBRAE DR.,halifax
Pizza Girls / KATCH Seafood - Pizza Corner,Eating Establishment,Active,1560 GRAFTON ST.,halifax
YASMINE GROCERY,Food Shop,Active,2405 AGRICOLA ST.,halifax
SILONG EXPRESS,Eating Establishment,Active,16 TITUS ST.,halifax
MARIA DUECK - ALDERNEY LANDING FARMERS MARKET,Public Market - Vendor,Active,2 OCHTERLONEY ST.,dartmouth
BENTO SUSHI IN SOBEYS (QUEEN ST),Eating Establishment,Active,1120 QUEEN ST.,halifax
LAWTONS #875,Food Shop,Active,316 WILLOW ST.,truro
CAKE LADY (THE) - ALDERNEY LANDING FARMERS MARKET,Public Market - Vendor,Active,2 OCHTERLONEY ST.,dartmouth
ALEXANDRA'S PIZZA,Eating Establishment,Active,14 HIGHFIELD PARK DR.,dartmouth
ROCKY'S NOODLES,Eating Establishment,Active,1532 GRANVILLE ST.,halifax
Downtown Pizza and Donair,Eating Establishment,Active,215 CHAIN LAKE DR. UNIT 4B,halifax
SWISS CHALET,Eating Establishment,Active,16 FOULIS ROW,dartmouth
MASHAWEE MEDITERRANEAN GRILL,Eating Establishment,Active,1526 DRESDEN ROW,halifax
NovelTea Bookstore Cafe - Truro Farmers Market,Eating Establishment - Seasonal,Active,15 YOUNG ST.,truro
EAGLEQUEST GRANDVIEW GOLF,Eating Establishment,Active,431 CRANE HILL RD.,dartmouth
KINGS ARMS COMMONS RESTAURANT,Eating Establishment,Active,430 MAIN ST.,wolfville
BENTO SUSHI IN SOBEYS (HERRING COVE),Eating Establishment,Active,279 HERRING COVE RD.,halifax
JULEP,Eating Establishment,Active,1688 BARRINGTON ST.,halifax
KHURSHID HALAL SHACK - SPRYFIELD DISTRICT AND COMMUNITY MARKET,Public Market - Vendor,Active,173 OLD SAMBRO RD.,halifax
SUBWAY,Eating Establishment,Active,380 PLEASANT ST.,dartmouth
RAY'S LEBANESE CUISINE - BAYERS LAKE,Eating Establishment,Active,120 SUSIE LAKE CRES. UNIT 14,halifax
MCDONALD'S FAMILY RESTAURANT,Eating Establishment,Active,46 KILTEARN ROW,dartmouth
COWS Inc.,Food Shop,Active,1869 UPPER WATER ST.,halifax
GOLDEN WU RESTAURANT,Eating Establishment,Active,138 ARTHUR ST.,truro
SOBEYS #772,Eating Establishment,Active,60 TACOMA DR.,dartmouth
SALVATION ARMY HALIFAX CITADEL COMMUNITY CHURCH,Eating Establishment,Active,1327 BARRINGTON ST.,halifax
